input,target 
b'rnbqkbr1/pppppppp/5n2/8/6P1/8/PPPPPP1P/RNBQKBNR w KQq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/6P1/8/PPPPPP1P/RNBQKBNR w KQq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/6P1/8/PPPPPP1P/RNBQKBNR w KQq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/6P1/8/PPPPPP1P/RNBQKBNR w KQkq - 1 3',-110
b'r1bqkb1r/pppppppp/2n2n2/8/6P1/8/PPPPPP1P/RNBQKBNR w KQkq - 1 3',-110
b'r1bqkb1r/pppppppp/2n2n2/8/6P1/8/PPPPPP1P/RNBQKBNR w KQkq - 1 3',-110
b'r1bqkb1r/pppppppp/2n2n2/8/6P1/8/PPPPPP1P/RNBQKBNR w KQkq - 1 3',-110
b'r1bqkb1r/pppppppp/2n2n2/8/6P1/8/PPPPPP1P/RNBQKBNR w KQkq - 1 3',-110
b'rnbqkbr1/pppppppp/5n2/8/6P1/8/PPPPPP1P/RNBQKBNR w KQq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/6P1/8/PPPPPP1P/RNBQKBNR w KQq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/6P1/8/PPPPPP1P/RNBQKBNR w KQkq - 1 3',-110
b'rnbqkbr1/pppppppp/5n2/8/6P1/8/PPPPPP1P/RNBQKBNR w KQq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/6P1/8/PPPPPP1P/RNBQKBNR w KQq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/6P1/8/PPPPPP1P/RNBQKBNR w KQq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/6P1/8/PPPPPP1P/RNBQKBNR w KQq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/6P1/8/PPPPPP1P/RNBQKBNR w KQq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/6P1/8/PPPPPP1P/RNBQKBNR w KQkq - 1 3',-110
b'r1bqkb1r/pppppppp/2n2n2/8/6P1/8/PPPPPP1P/RNBQKBNR w KQkq - 1 3',-110
b'r1bqkb1r/pppppppp/2n2n2/8/6P1/8/PPPPPP1P/RNBQKBNR w KQkq - 1 3',-110
b'r1bqkb1r/pppppppp/2n2n2/8/6P1/8/PPPPPP1P/RNBQKBNR w KQkq - 1 3',-110
b'r1bqkb1r/pppppppp/2n2n2/8/6P1/8/PPPPPP1P/RNBQKBNR w KQkq - 1 3',-110
b'r1bqkb1r/pppppppp/2n2n2/8/6P1/8/PPPPPP1P/RNBQKBNR w KQkq - 1 3',-110
b'rnbqkbr1/pppppppp/5n2/8/5P2/8/PPPPP1PP/RNBQKBNR w KQq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/5P2/8/PPPPP1PP/RNBQKBNR w KQkq - 1 3',-110
b'rnbqkbr1/pppppppp/5n2/8/5P2/8/PPPPP1PP/RNBQKBNR w KQq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/5P2/8/PPPPP1PP/RNBQKBNR w KQkq - 1 3',-110
b'rnbqkbr1/pppppppp/5n2/8/5P2/8/PPPPP1PP/RNBQKBNR w KQq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/5P2/8/PPPPP1PP/RNBQKBNR w KQq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/5P2/8/PPPPP1PP/RNBQKBNR w KQkq - 1 3',-110
b'r1bqkb1r/pppppppp/2n2n2/8/5P2/8/PPPPP1PP/RNBQKBNR w KQkq - 1 3',-110
b'rnbqkbr1/pppppppp/5n2/8/5P2/8/PPPPP1PP/RNBQKBNR w KQq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/5P2/8/PPPPP1PP/RNBQKBNR w KQq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/5P2/8/PPPPP1PP/RNBQKBNR w KQkq - 1 3',-110
b'rnbqkbr1/pppppppp/5n2/8/5P2/8/PPPPP1PP/RNBQKBNR w KQq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/5P2/8/PPPPP1PP/RNBQKBNR w KQq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/5P2/8/PPPPP1PP/RNBQKBNR w KQkq - 1 3',-110
b'r1bqkb1r/pppppppp/2n2n2/8/5P2/8/PPPPP1PP/RNBQKBNR w KQkq - 1 3',-110
b'rnbqkbr1/pppppppp/5n2/8/5P2/8/PPPPP1PP/RNBQKBNR w KQq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/5P2/8/PPPPP1PP/RNBQKBNR w KQq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/5P2/8/PPPPP1PP/RNBQKBNR w KQq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/5P2/8/PPPPP1PP/RNBQKBNR w KQkq - 1 3',-110
b'r1bqkb1r/pppppppp/2n2n2/8/5P2/8/PPPPP1PP/RNBQKBNR w KQkq - 1 3',-110
b'rnbqkbr1/pppppppp/5n2/8/5P2/8/PPPPP1PP/RNBQKBNR w KQq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/5P2/8/PPPPP1PP/RNBQKBNR w KQq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/5P2/8/PPPPP1PP/RNBQKBNR w KQkq - 1 3',-110
b'r1bqkb1r/pppppppp/2n2n2/8/5P2/8/PPPPP1PP/RNBQKBNR w KQkq - 1 3',-110
b'r1bqkb1r/pppppppp/2n2n2/8/5P2/8/PPPPP1PP/RNBQKBNR w KQkq - 1 3',-110
b'r1bqkb1r/pppppppp/2n2n2/8/5P2/8/PPPPP1PP/RNBQKBNR w KQkq - 1 3',-110
b'rnbqkbr1/pppppppp/5n2/8/5P2/8/PPPPP1PP/RNBQKBNR w KQq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/5P2/8/PPPPP1PP/RNBQKBNR w KQq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/5P2/8/PPPPP1PP/RNBQKBNR w KQq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/5P2/8/PPPPP1PP/RNBQKBNR w KQq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/5P2/8/PPPPP1PP/RNBQKBNR w KQq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/5P2/8/PPPPP1PP/RNBQKBNR w KQkq - 1 3',-110
b'rnbqkbr1/pppppppp/5n2/8/5P2/8/PPPPP1PP/RNBQKBNR w KQq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/5P2/8/PPPPP1PP/RNBQKBNR w KQkq - 1 3',-110
b'rnbqkbr1/pppppppp/5n2/8/5P2/8/PPPPP1PP/RNBQKBNR w KQq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/5P2/8/PPPPP1PP/RNBQKBNR w KQq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/5P2/8/PPPPP1PP/RNBQKBNR w KQkq - 1 3',-110
b'r1bqkb1r/pppppppp/2n2n2/8/5P2/8/PPPPP1PP/RNBQKBNR w KQkq - 1 3',-110
b'r1bqkb1r/pppppppp/2n2n2/8/5P2/8/PPPPP1PP/RNBQKBNR w KQkq - 1 3',-110
b'r1bqkb1r/pppppppp/2n2n2/8/5P2/8/PPPPP1PP/RNBQKBNR w KQkq - 1 3',-110
b'r1bqkb1r/pppppppp/2n2n2/8/5P2/8/PPPPP1PP/RNBQKBNR w KQkq - 1 3',-110
b'rnbqkbr1/pppppppp/5n2/8/5P2/8/PPPPP1PP/RNBQKBNR w KQq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/5P2/8/PPPPP1PP/RNBQKBNR w KQq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/5P2/8/PPPPP1PP/RNBQKBNR w KQq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/5P2/8/PPPPP1PP/RNBQKBNR w KQq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/5P2/8/PPPPP1PP/RNBQKBNR w KQkq - 1 3',-110
b'r1bqkb1r/pppppppp/2n2n2/8/5P2/8/PPPPP1PP/RNBQKBNR w KQkq - 1 3',-110
b'r1bqkb1r/pppppppp/2n2n2/8/5P2/8/PPPPP1PP/RNBQKBNR w KQkq - 1 3',-110
b'r1bqkb1r/pppppppp/2n2n2/8/5P2/8/PPPPP1PP/RNBQKBNR w KQkq - 1 3',-110
b'r1bqkb1r/pppppppp/2n2n2/8/5P2/8/PPPPP1PP/RNBQKBNR w KQkq - 1 3',-110
b'rnbqkbr1/pppppppp/5n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQq - 1 3',-10
b'r1bqkb1r/pppppppp/2n2n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQq - 1 3',-10
b'r1bqkb1r/pppppppp/2n2n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQq - 1 3',-10
b'rnbqkbr1/pppppppp/5n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQq - 1 3',-10
b'rnbqkbr1/pppppppp/5n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQq - 1 3',-10
b'r1bqkb1r/pppppppp/2n2n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQq - 1 3',-10
b'rnbqkbr1/pppppppp/5n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQq - 1 3',-10
b'rnbqkbr1/pppppppp/5n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQq - 1 3',-10
b'r1bqkb1r/pppppppp/2n2n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQq - 1 3',-10
b'rnbqkbr1/pppppppp/5n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQq - 1 3',-10
b'r1bqkb1r/pppppppp/2n2n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQq - 1 3',-10
b'rnbqkbr1/pppppppp/5n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQq - 1 3',-10
b'rnbqkbr1/pppppppp/5n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQq - 1 3',-10
b'r1bqkb1r/pppppppp/2n2n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQq - 1 3',-10
b'rnbqkbr1/pppppppp/5n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQq - 1 3',-10
b'rnbqkbr1/pppppppp/5n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQq - 1 3',-10
b'rnbqkbr1/pppppppp/5n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQq - 1 3',-10
b'rnbqkbr1/pppppppp/5n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQq - 1 3',-10
b'r1bqkb1r/pppppppp/2n2n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQq - 1 3',-10
b'r1bqkb1r/pppppppp/2n2n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQq - 1 3',-10
b'r1bqkb1r/pppppppp/2n2n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQq - 1 3',-10
b'r1bqkb1r/pppppppp/2n2n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQq - 1 3',-10
b'rnbqkbr1/pppppppp/5n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQq - 1 3',-10
b'rnbqkbr1/pppppppp/5n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQq - 1 3',-10
b'rnbqkbr1/pppppppp/5n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQq - 1 3',-10
b'r1bqkb1r/pppppppp/2n2n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQq - 1 3',-10
b'r1bqkb1r/pppppppp/2n2n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQq - 1 3',-10
b'rnbqkbr1/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQq - 1 3',-10
b'rnbqkbr1/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQq - 1 3',-10
b'r1bqkb1r/pppppppp/2n2n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQq - 1 3',-10
b'r1bqkb1r/pppppppp/2n2n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQq - 1 3',-10
b'r1bqkb1r/pppppppp/2n2n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQq - 1 3',-10
b'r1bqkb1r/pppppppp/2n2n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQq - 1 3',-10
b'rnbqkbr1/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQq - 1 3',-10
b'rnbqkbr1/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQq - 1 3',-10
b'r1bqkb1r/pppppppp/2n2n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQq - 1 3',-10
b'r1bqkb1r/pppppppp/2n2n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQq - 1 3',-10
b'rnbqkbr1/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQq - 1 3',-10
b'rnbqkbr1/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQq - 1 3',-10
b'rnbqkbr1/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQq - 1 3',-10
b'rnbqkbr1/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQq - 1 3',-10
b'rnbqkbr1/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQq - 1 3',-10
b'r1bqkb1r/pppppppp/2n2n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQq - 1 3',-10
b'r1bqkb1r/pppppppp/2n2n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQq - 1 3',-10
b'rnbqkbr1/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQq - 1 3',-10
b'rnbqkbr1/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQq - 1 3',-10
b'rnbqkbr1/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQq - 1 3',-10
b'rnbqkbr1/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQq - 1 3',-10
b'rnbqkbr1/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQq - 1 3',-10
b'r1bqkb1r/pppppppp/2n2n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQq - 1 3',-10
b'r1bqkb1r/pppppppp/2n2n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 1 3',-110
b'rnbqkbr1/pppppppp/5n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 1 3',-110
b'r1bqkb1r/pppppppp/2n2n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 1 3',-110
b'r1bqkb1r/pppppppp/2n2n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 1 3',-110
b'r1bqkb1r/pppppppp/2n2n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 1 3',-110
b'rnbqkbr1/pppppppp/5n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 1 3',-110
b'rnbqkbr1/pppppppp/5n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 1 3',-110
b'r1bqkb1r/pppppppp/2n2n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 1 3',-110
b'r1bqkb1r/pppppppp/2n2n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 1 3',-110
b'r1bqkb1r/pppppppp/2n2n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 1 3',-110
b'r1bqkb1r/pppppppp/2n2n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 1 3',-110
b'rnbqkbr1/pppppppp/5n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 1 3',-110
b'rnbqkbr1/pppppppp/5n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 1 3',-110
b'r1bqkb1r/pppppppp/2n2n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 1 3',-110
b'rnbqkbr1/pppppppp/5n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 1 3',-110
b'r1bqkb1r/pppppppp/2n2n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 1 3',-110
b'r1bqkb1r/pppppppp/2n2n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 1 3',-110
b'r1bqkb1r/pppppppp/2n2n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 1 3',-110
b'r1bqkb1r/pppppppp/2n2n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 1 3',-110
b'rnbqkbr1/pppppppp/5n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 1 3',-110
b'rnbqkbr1/pppppppp/5n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 1 3',-110
b'rnbqkbr1/pppppppp/5n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 1 3',-110
b'r1bqkb1r/pppppppp/2n2n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 1 3',-110
b'r1bqkb1r/pppppppp/2n2n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 1 3',-110
b'r1bqkb1r/pppppppp/2n2n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 1 3',-110
b'rnbqkbr1/pppppppp/5n2/8/1P6/8/P1PPPPPP/RNBQKBNR w KQq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/1P6/8/P1PPPPPP/RNBQKBNR w KQkq - 1 3',-110
b'rnbqkbr1/pppppppp/5n2/8/1P6/8/P1PPPPPP/RNBQKBNR w KQq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/1P6/8/P1PPPPPP/RNBQKBNR w KQq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/1P6/8/P1PPPPPP/RNBQKBNR w KQkq - 1 3',-110
b'rnbqkbr1/pppppppp/5n2/8/1P6/8/P1PPPPPP/RNBQKBNR w KQq - 1 3',-60
b'r1bqkb1r/pppppppp/2n2n2/8/1P6/8/P1PPPPPP/RNBQKBNR w KQkq - 1 3',-110
b'rnbqkbr1/pppppppp/5n2/8/1P6/8/P1PPPPPP/RNBQKBNR w KQq - 1 3',-60
b'rnbqkbr1/pppppppp/5n2/8/1P6/8/P1PPPPPP/RNBQKBNR w KQq - 1 3',-60
